,Feature,Importance
2,num__capital-gain,285
8,num__edu_hours,165
19,cat__marital-status_Married-civ-spouse,100
1,num__education-num,74
0,num__age,40
3,num__capital-loss,36
4,num__hours-per-week,0
6,num__higher_education,0
5,num__capital_gain_flag,0
9,cat__workclass_Federal-gov,0
10,cat__workclass_Local-gov,0
11,cat__workclass_Never-worked,0
7,num__log_capital_gain,0
12,cat__workclass_Private,0
13,cat__workclass_Self-emp-inc,0
15,cat__workclass_State-gov,0
14,cat__workclass_Self-emp-not-inc,0
16,cat__workclass_Without-pay,0
17,cat__marital-status_Divorced,0
18,cat__marital-status_Married-AF-spouse,0
20,cat__marital-status_Married-spouse-absent,0
21,cat__marital-status_Never-married,0
22,cat__marital-status_Separated,0
23,cat__marital-status_Widowed,0
24,cat__occupation_Adm-clerical,0
25,cat__occupation_Armed-Forces,0
26,cat__occupation_Craft-repair,0
27,cat__occupation_Exec-managerial,0
28,cat__occupation_Farming-fishing,0
29,cat__occupation_Handlers-cleaners,0
30,cat__occupation_Machine-op-inspct,0
31,cat__occupation_Other-service,0
32,cat__occupation_Priv-house-serv,0
33,cat__occupation_Prof-specialty,0
34,cat__occupation_Protective-serv,0
35,cat__occupation_Sales,0
36,cat__occupation_Tech-support,0
37,cat__occupation_Transport-moving,0
38,cat__relationship_Husband,0
39,cat__relationship_Not-in-family,0
40,cat__relationship_Other-relative,0
41,cat__relationship_Own-child,0
42,cat__relationship_Unmarried,0
43,cat__relationship_Wife,0
44,cat__race_Amer-Indian-Eskimo,0
45,cat__race_Asian-Pac-Islander,0
46,cat__race_Black,0
47,cat__race_Other,0
48,cat__race_White,0
49,cat__sex_Female,0
50,cat__sex_Male,0
51,cat__native-country_Cambodia,0
52,cat__native-country_Canada,0
53,cat__native-country_China,0
54,cat__native-country_Columbia,0
55,cat__native-country_Cuba,0
56,cat__native-country_Dominican-Republic,0
57,cat__native-country_Ecuador,0
58,cat__native-country_El-Salvador,0
59,cat__native-country_England,0
60,cat__native-country_France,0
61,cat__native-country_Germany,0
62,cat__native-country_Greece,0
63,cat__native-country_Guatemala,0
64,cat__native-country_Haiti,0
65,cat__native-country_Holand-Netherlands,0
66,cat__native-country_Honduras,0
67,cat__native-country_Hong,0
68,cat__native-country_Hungary,0
69,cat__native-country_India,0
70,cat__native-country_Iran,0
71,cat__native-country_Ireland,0
72,cat__native-country_Italy,0
73,cat__native-country_Jamaica,0
74,cat__native-country_Japan,0
75,cat__native-country_Laos,0
76,cat__native-country_Mexico,0
77,cat__native-country_Nicaragua,0
78,cat__native-country_Outlying-US(Guam-USVI-etc),0
79,cat__native-country_Peru,0
80,cat__native-country_Philippines,0
81,cat__native-country_Poland,0
82,cat__native-country_Portugal,0
83,cat__native-country_Puerto-Rico,0
84,cat__native-country_Scotland,0
85,cat__native-country_South,0
86,cat__native-country_Taiwan,0
87,cat__native-country_Thailand,0
88,cat__native-country_Trinadad&Tobago,0
89,cat__native-country_United-States,0
90,cat__native-country_Vietnam,0
91,cat__native-country_Yugoslavia,0
92,cat__age_bucket_18-25,0
93,cat__age_bucket_26-35,0
94,cat__age_bucket_36-45,0
95,cat__age_bucket_46-55,0
96,cat__age_bucket_56+,0
97,cat__hours_bucket_Full-time,0
98,cat__hours_bucket_Heavy Overtime,0
99,cat__hours_bucket_Overtime,0
100,cat__hours_bucket_Part-time,0
