team_name,opponent,match_date,year,round,venue,home_away,result,team_win,recent_form_5,avg_score_last5,win_streak_entering_match,days_rest,points_before_match,ladder_position_before_match,h2h_win_rate_vs_opponent,venue_win_rate
Adelaide Crows,hawthorn hawks,1991-03-22,1991,1,AAMI Stadium,H,W,1,,,0,,0.0,1.0,,
Adelaide Crows,Carlton Blues,1991-03-31,1991,2,AAMI Stadium,H,L,0,,,1,9.0,4.0,1.0,,1.0
Adelaide Crows,Sydney Swans,1991-04-07,1991,3,Sydney Cricket Ground,A,W,1,,,-1,7.0,4.0,1.0,,
Adelaide Crows,Essendon Bombers,1991-04-13,1991,4,Windy Hill,A,L,0,0.6666666666666666,122.66666666666667,1,6.0,8.0,1.0,,
Adelaide Crows,West Coast Eagles,1991-04-21,1991,5,Domain Stadium,A,L,0,0.5,103.75,-1,8.0,8.0,5.0,,
Adelaide Crows,Western Bulldogs,1991-04-28,1991,6,AAMI Stadium,H,W,1,0.4,96.0,-2,7.0,8.0,7.0,,0.5
Adelaide Crows,St Kilda Saints,1991-05-04,1991,7,Moorabbin Oval,A,L,0,0.4,90.6,1,6.0,12.0,5.0,,
Adelaide Crows,North Melbourne Kangaroos,1991-05-17,1991,9,Melbourne Cricket Ground,A,L,0,0.4,80.6,-1,13.0,12.0,8.0,,
Adelaide Crows,melbourne demons,1991-05-24,1991,10,AAMI Stadium,H,W,1,0.2,77.8,-2,7.0,12.0,10.0,,0.6666666666666666
Adelaide Crows,Geelong Cats,1991-06-01,1991,11,GMHBA Stadium,A,L,0,0.4,89.6,1,8.0,16.0,8.0,,
Adelaide Crows,Fitzroy Lions,1991-06-09,1991,12,AAMI Stadium,H,W,1,0.4,95.2,-1,8.0,16.0,8.0,,0.75
Adelaide Crows,Richmond Tigers,1991-06-15,1991,13,Melbourne Cricket Ground,A,W,1,0.4,79.6,1,6.0,20.0,8.0,,0.0
Adelaide Crows,Brisbane Bears,1991-06-23,1991,14,AAMI Stadium,H,W,1,0.6,90.4,2,8.0,24.0,6.0,,0.8
Adelaide Crows,Collingwood Magpies,1991-06-29,1991,15,Victoria Park,A,L,0,0.8,98.0,3,6.0,28.0,7.0,,
Adelaide Crows,hawthorn hawks,1991-07-06,1991,16,Waverley Park,A,L,0,0.6,84.2,-1,7.0,28.0,7.0,1.0,
Adelaide Crows,Carlton Blues,1991-07-13,1991,17,Princes Park,A,W,1,0.6,84.6,-2,7.0,28.0,8.0,0.0,
Adelaide Crows,Sydney Swans,1991-07-21,1991,18,AAMI Stadium,H,L,0,0.6,85.6,1,8.0,32.0,6.0,1.0,0.8333333333333334
Adelaide Crows,essendon bombers,1991-07-28,1991,19,AAMI Stadium,H,W,1,0.4,92.2,-1,7.0,32.0,8.0,,0.7142857142857143
Adelaide Crows,West Coast Eagles,1991-08-04,1991,20,AAMI Stadium,H,L,0,0.4,82.6,1,7.0,36.0,8.0,0.0,0.75
Adelaide Crows,Western Bulldogs,1991-08-10,1991,21,Western Oval,A,L,0,0.4,91.2,-1,6.0,36.0,9.0,1.0,
Adelaide Crows,St Kilda Saints,1991-08-16,1991,22,AAMI Stadium,H,L,0,0.4,80.2,-2,6.0,36.0,8.0,0.0,0.6666666666666666
Adelaide Crows,North Melbourne Kangaroos,1991-09-01,1991,24,AAMI Stadium,H,W,1,0.2,85.4,-3,16.0,36.0,8.0,0.0,0.6
Adelaide Crows,western bulldogs,1992-03-22,1992,1,AAMI Stadium,H,L,0,0.4,97.8,1,203.0,0.0,1.0,,0.6363636363636364
Adelaide Crows,Melbourne Demons,1992-04-04,1992,3,Princes Park,A,W,1,0.2,93.6,-1,13.0,0.0,9.0,,1.0
Adelaide Crows,Fitzroy Lions,1992-04-11,1992,4,Princes Park,A,L,0,0.4,98.4,1,7.0,4.0,5.0,1.0,1.0
Adelaide Crows,Richmond Tigers,1992-04-19,1992,5,AAMI Stadium,H,W,1,0.4,109.8,-1,8.0,4.0,7.0,1.0,0.5833333333333334
Adelaide Crows,Brisbane Bears,1992-04-26,1992,6,AAMI Stadium,H,W,1,0.6,123.8,1,7.0,8.0,4.0,1.0,0.6153846153846154
Adelaide Crows,st kilda saints,1992-05-02,1992,7,Moorabbin Oval,A,L,0,0.6,114.6,2,6.0,12.0,4.0,,0.0
Adelaide Crows,Geelong Cats,1992-05-09,1992,8,GMHBA Stadium,A,L,0,0.6,110.2,-1,7.0,12.0,6.0,0.0,0.0
Adelaide Crows,Collingwood Magpies,1992-05-17,1992,9,AAMI Stadium,H,L,0,0.4,106.8,-2,8.0,12.0,9.0,0.0,0.6428571428571429
Adelaide Crows,West Coast Eagles,1992-05-22,1992,10,WACA,A,L,0,0.4,100.2,-3,5.0,12.0,9.0,0.0,
Adelaide Crows,North Melbourne Kangaroos,1992-05-31,1992,11,AAMI Stadium,H,W,1,0.2,85.6,-4,9.0,12.0,9.0,0.5,0.6
Adelaide Crows,Hawthorn Hawks,1992-06-08,1992,12,Waverley Park,A,W,1,0.2,87.2,1,8.0,16.0,9.0,,0.0
Adelaide Crows,carlton blues,1992-06-13,1992,13,Princes Park,A,L,0,0.4,94.8,2,5.0,20.0,9.0,,0.6666666666666666
Adelaide Crows,Essendon Bombers,1992-06-21,1992,14,AAMI Stadium,H,L,0,0.4,95.8,-1,8.0,20.0,10.0,0.0,0.625
Adelaide Crows,Sydney Swans,1992-06-26,1992,15,AAMI Stadium,H,W,1,0.4,101.4,-2,5.0,20.0,9.0,0.5,0.5882352941176471
Adelaide Crows,Western Bulldogs,1992-07-04,1992,16,Waverley Park,A,L,0,0.6,115.6,1,8.0,24.0,10.0,0.5,0.5
Adelaide Crows,Melbourne Demons,1992-07-19,1992,18,AAMI Stadium,H,L,0,0.4,98.4,-1,15.0,24.0,9.0,1.0,0.6111111111111112
Adelaide Crows,Fitzroy Lions,1992-07-25,1992,19,AAMI Stadium,H,W,1,0.2,91.2,-2,6.0,24.0,10.0,0.5,0.5789473684210527
Adelaide Crows,richmond tigers,1992-08-02,1992,20,Melbourne Cricket Ground,A,W,1,0.4,99.2,1,8.0,28.0,9.0,,0.5
Adelaide Crows,brisbane bears,1992-08-09,1992,21,People First Stadium,A,W,1,0.6,113.4,2,7.0,32.0,8.0,,
Adelaide Crows,St Kilda Saints,1992-08-16,1992,22,AAMI Stadium,H,W,1,0.6,105.6,3,7.0,36.0,8.0,0.0,0.6
Adelaide Crows,geelong cats,1992-08-23,1992,23,AAMI Stadium,H,W,1,0.8,113.0,4,7.0,40.0,8.0,,0.6190476190476191
Adelaide Crows,Collingwood Magpies,1992-08-29,1992,24,Victoria Park,A,L,0,1.0,133.4,5,6.0,44.0,8.0,0.0,0.0
