property_id,amenity
1,Shopping Mall Access
1,Solar Panels
1,Community Park
2,Gymnasium
2,Underground Electricity
2,Solar Panels
2,Mosque
2,Wide Roads
2,Community Park
3,Community Park
3,Swimming Pool
3,Gymnasium
4,Underground Electricity
4,24/7 Security
4,Solar Panels
4,Mosque
5,Swimming Pool
5,24/7 Security
5,Kids Play Area
5,Covered Parking
5,Shopping Mall Access
6,Gymnasium
6,Community Park
6,Kids Play Area
7,Kids Play Area
7,Community Park
7,Underground Electricity
8,Gymnasium
8,Shopping Mall Access
8,Mosque
8,Wide Roads
8,Backup Generator
8,Underground Electricity
9,Covered Parking
9,Mosque
9,Gymnasium
9,Backup Generator
10,Covered Parking
10,Mosque
10,Kids Play Area
10,Solar Panels
10,24/7 Security
10,Backup Generator
11,Solar Panels
11,Covered Parking
11,Gymnasium
12,Mosque
12,24/7 Security
12,Community Park
12,Underground Electricity
12,Solar Panels
12,Shopping Mall Access
13,Covered Parking
13,24/7 Security
13,Community Park
13,Kids Play Area
13,Gymnasium
13,Mosque
14,Backup Generator
14,24/7 Security
14,Solar Panels
14,Swimming Pool
14,Covered Parking
15,Gymnasium
15,Solar Panels
15,Underground Electricity
15,24/7 Security
16,Underground Electricity
16,24/7 Security
16,Wide Roads
17,Underground Electricity
17,Backup Generator
17,Mosque
17,Community Park
18,Mosque
18,Gymnasium
18,Kids Play Area
19,Underground Electricity
19,Kids Play Area
19,Covered Parking
19,Community Park
19,Solar Panels
20,Covered Parking
20,Solar Panels
20,Swimming Pool
21,Solar Panels
21,Mosque
21,Covered Parking
22,Underground Electricity
22,Shopping Mall Access
22,Solar Panels
22,Gymnasium
23,Kids Play Area
23,Solar Panels
23,Backup Generator
23,Wide Roads
23,Covered Parking
23,Swimming Pool
24,Community Park
24,Swimming Pool
24,Mosque
24,Shopping Mall Access
24,Covered Parking
25,Solar Panels
25,Underground Electricity
25,Wide Roads
25,Shopping Mall Access
26,24/7 Security
26,Covered Parking
26,Swimming Pool
26,Community Park
26,Wide Roads
26,Shopping Mall Access
27,Wide Roads
27,Mosque
27,Swimming Pool
27,Shopping Mall Access
27,Solar Panels
27,Backup Generator
28,Backup Generator
28,Covered Parking
28,Community Park
28,Gymnasium
28,Shopping Mall Access
29,Covered Parking
29,Wide Roads
29,Underground Electricity
29,24/7 Security
29,Swimming Pool
30,Mosque
30,Underground Electricity
30,Shopping Mall Access
30,Covered Parking
30,Swimming Pool
31,Solar Panels
31,Gymnasium
31,Wide Roads
31,Shopping Mall Access
31,24/7 Security
31,Swimming Pool
32,Underground Electricity
32,Backup Generator
32,Swimming Pool
32,Wide Roads
32,Shopping Mall Access
33,24/7 Security
33,Covered Parking
33,Solar Panels
33,Backup Generator
33,Swimming Pool
33,Shopping Mall Access
34,Gymnasium
34,Wide Roads
34,Community Park
34,Swimming Pool
35,Mosque
35,Community Park
35,Kids Play Area
35,24/7 Security
36,Community Park
36,Mosque
36,Kids Play Area
36,Solar Panels
37,Covered Parking
37,Shopping Mall Access
37,Backup Generator
38,Solar Panels
38,Gymnasium
38,Underground Electricity
38,Shopping Mall Access
38,Mosque
38,Wide Roads
39,Community Park
39,Mosque
39,Wide Roads
39,Swimming Pool
40,Wide Roads
40,Swimming Pool
40,Backup Generator
40,Mosque
41,Wide Roads
41,Covered Parking
41,Swimming Pool
41,Solar Panels
41,Shopping Mall Access
41,Kids Play Area
42,Shopping Mall Access
42,Kids Play Area
42,Backup Generator
42,Wide Roads
42,Solar Panels
43,Community Park
43,Swimming Pool
43,Backup Generator
43,Solar Panels
44,Solar Panels
44,Kids Play Area
44,Covered Parking
44,Mosque
44,Community Park
45,Mosque
45,24/7 Security
45,Shopping Mall Access
45,Covered Parking
46,Wide Roads
46,Solar Panels
46,Shopping Mall Access
46,Backup Generator
46,Gymnasium
47,Kids Play Area
47,Shopping Mall Access
47,24/7 Security
48,Kids Play Area
48,Solar Panels
48,Shopping Mall Access
48,Swimming Pool
48,Underground Electricity
48,Covered Parking
49,Kids Play Area
49,Community Park
49,Swimming Pool
50,Gymnasium
50,24/7 Security
50,Underground Electricity
51,Solar Panels
51,Wide Roads
51,Community Park
51,Swimming Pool
51,Mosque
52,Mosque
52,Gymnasium
52,Community Park
52,24/7 Security
53,Solar Panels
53,Underground Electricity
53,Mosque
53,Covered Parking
53,Wide Roads
54,Community Park
54,Swimming Pool
54,Kids Play Area
55,Wide Roads
55,Covered Parking
55,Solar Panels
55,Mosque
56,Backup Generator
56,Solar Panels
56,Community Park
56,Gymnasium
56,Shopping Mall Access
56,Swimming Pool
57,Mosque
57,Backup Generator
57,Community Park
57,Underground Electricity
57,24/7 Security
58,Shopping Mall Access
58,Wide Roads
58,24/7 Security
58,Swimming Pool
58,Mosque
58,Solar Panels
59,Solar Panels
59,Gymnasium
59,Mosque
59,Covered Parking
60,Wide Roads
60,Community Park
60,Gymnasium
